Park Unit,Total Recreation Visits,Total Visitor Spending ($2022),Jobs,Economic Output ($2022)
Abraham Lincoln Birthplace NHP,265707,"$17,545,000",266,"$25,544,000"
Acadia NPa,3970260,"$478,821,000",6695,"$690,712,000"
Adams NHP,12848,"$849,000",11,"$1,290,000"
African Burial Ground NM,29743,"$1,964,000",21,"$2,884,000"
Agate Fossil Beds NMa,16357,"$1,378,000",18,"$1,477,000"
Alagnak WRc,184,"$7,000",0,"$8,000"
Alibates Flint Quarries NM,7520,"$497,000",7,"$638,000"
Allegheny Portage Railroad NHS,176144,"$11,631,000",167,"$17,060,000"
Amistad NRA,912283,"$45,498,000",574,"$49,145,000"
Andersonville NHS,60109,"$3,969,000",61,"$5,109,000"
Andrew Johnson NHS,52873,"$3,491,000",49,"$4,838,000"
Aniakchak NM&PRES,179,"$344,000",5,"$520,000"
Antietam NB,115619,"$7,630,000",95,"$11,330,000"
Apostle Islands NLa,254952,"$45,212,000",623,"$56,652,000"
Appomattox Court House NHP,83483,"$5,512,000",79,"$7,307,000"
"Arches NPa,b",1460652,"$274,172,000",3558,"$335,174,000"
Arkansas Post NMEM,22791,"$1,505,000",20,"$1,927,000"
"Arlington House, The Robert E. Lee Memorial NMEM",306686,"$20,251,000",249,"$29,992,000"
Assateague Island NS,2340269,"$116,445,000",1414,"$138,624,000"
Aztec Ruins NM,50396,"$3,328,000",44,"$3,990,000"
Badlands NP,1006809,"$73,746,000",991,"$95,334,000"
Bandelier NM,210941,"$15,018,000",200,"$19,649,000"
Belmont-Paul Women's Equality NMc,0,$0,0,$0
Bent's Old Fort NHS,26057,"$1,720,000",23,"$2,226,000"
Bering Land Bridge NPRES,2642,"$4,363,000",61,"$6,529,000"
Big Bend NP,514107,"$48,061,000",655,"$55,676,000"
Big Cypress NPRES,2903159,"$261,407,000",3403,"$387,985,000"
Big Hole Nba,54781,"$4,371,000",56,"$4,845,000"
Big South Fork NRRAa,797726,"$28,195,000",333,"$32,603,000"
Big Thicket NPRES,276788,"$20,113,000",263,"$27,473,000"
Bighorn Canyon NRA,217660,"$10,805,000",145,"$13,194,000"
Biscayne NP,701023,"$50,949,000",659,"$74,118,000"
Black Canyon of the Gunnison NP,297257,"$20,930,000",243,"$26,108,000"
Blue Ridge PKWYa,15711004,"$1,286,018,000",17824,"$1,674,075,000"
Bluestone NSRc,14113,"$705,000",9,"$849,000"
Booker T Washington NM,20396,"$1,347,000",20,"$1,863,000"
Boston African American NHS,390765,"$25,803,000",323,"$39,314,000"
Boston Harbor Islands NRAc,29241,"$1,460,000",17,"$2,070,000"
Boston NHP,2123246,"$140,202,000",1752,"$213,592,000"
Brown V Board of Education NHS,15564,"$1,028,000",15,"$1,612,000"
"Bryce Canyon NPa,b",2354660,"$218,608,000",3019,"$234,954,000"
Buck Island Reef NM,45365,"$3,210,000",31,"$4,011,000"
Buffalo NR,1306932,"$64,953,000",864,"$78,495,000"
Cabrillo NM,768076,"$50,718,000",638,"$71,205,000"
Camp Nelson NM,16217,"$1,071,000",16,"$1,479,000"
Canaveral NSa,2122075,"$87,275,000",1126,"$124,122,000"
Cane River Creole NHP,14811,"$978,000",13,"$1,232,000"
Canyon De Chelly NM,354972,"$26,964,000",352,"$31,858,000"
