ranking_title,year,running_time,rating,imdb_score,vote,metascore,plot
1. Mufasa: The Lion King,2024,,,This title is currently not ratable,,,
2. Knuckles,2024,,TV-PG,IMDb rating: 6.3, (2.8K),,
3. Unsung Hero,2024,1h 53m,PG,IMDb rating: 7.9, (1.3K),46,
4. Queen of Tears,2024–,,,IMDb rating: 8.3, (7.7K),,
5. Kung Fu Panda 4,2024,1h 34m,PG,IMDb rating: 6.3, (35K),54,
6. IF,2024,1h 44m,PG,This title is currently not ratable,,,
7. Wish,2023,1h 35m,PG,IMDb rating: 5.6, (35K),47,
8. Avatar: The Last Airbender,2024–,,TV-PG,IMDb rating: 7.2, (69K),,
9. The Garfield Movie,2024,1h 41m,PG,IMDb rating: 6.3, (780),,
10. Wonka,2023,1h 56m,PG,IMDb rating: 7.0, (142K),66,
11. Branching Out,2024,,TV-G,IMDb rating: 7.4, (415),,
12. Migration,2023,1h 23m,PG,IMDb rating: 6.7, (25K),56,
13. Avatar: The Last Airbender,2005–2008,,TV-Y7-FV,IMDb rating: 9.3, (374K),,
14. Bluey,2018–,,TV-Y,IMDb rating: 9.4, (29K),,
15. X-Men: The Animated Series,1992–1997,,TV-Y7,IMDb rating: 8.4, (49K),,
16. Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,IMDb rating: 7.6, (857K),65,
17. The Spiderwick Chronicles,2024,,,IMDb rating: 5.2, (1.4K),,
18. Sonic the Hedgehog 3,2024,,,This title is currently not ratable,,,
19. Transformers One,2024,,,This title is currently not ratable,,,
20. The Lion King,2019,1h 58m,PG,IMDb rating: 6.8, (267K),55,
21. The Baxters,2024–,,,IMDb rating: 6.3, (1.6K),,
22. Inside Out 2,2024,1h 40m,,This title is currently not ratable,,,
23. Moana 2,2024,,,This title is currently not ratable,,,
24. The Goonies,1985,1h 54m,PG,IMDb rating: 7.7, (299K),62,
25. The Lion King,1994,1h 28m,G,IMDb rating: 8.5, (1.1M),88,
26. The Princess Bride,1987,1h 38m,PG,IMDb rating: 8.0, (451K),78,
27. Heartland,2007–,,TV-PG,IMDb rating: 8.5, (20K),,
28. Little House on the Prairie,1974–1983,,TV-PG,IMDb rating: 7.5, (27K),,
29. Malcolm in the Middle,2000–2006,,TV-PG,IMDb rating: 8.2, (143K),,
30. Monsters at Work,2021–,,TV-G,IMDb rating: 7.0, (8.7K),,
31. Spirited Away,2001,2h 5m,PG,IMDb rating: 8.6, (851K),96,
32. The Super Mario Bros. Movie,2023,1h 32m,PG,IMDb rating: 7.0, (237K),46,
33. SpongeBob SquarePants,1999–,,TV-Y7,IMDb rating: 8.2, (112K),,
34. Miss Peregrine's Home for Peculiar Children,2016,2h 7m,PG-13,IMDb rating: 6.7, (189K),57,
35. Cars,2006,1h 56m,G,IMDb rating: 7.2, (471K),73,
36. Trolls Band Together,2023,1h 31m,PG,IMDb rating: 6.0, (14K),53,
37. The Boy and the Heron,2023,2h 4m,PG-13,IMDb rating: 7.6, (51K),91,
38. Kung Fu Panda,2008,1h 32m,PG,IMDb rating: 7.6, (523K),74,
39. Sonic the Hedgehog 2,2022,2h 2m,PG,IMDb rating: 6.5, (88K),47,
40. Descendants: The Rise of Red,2024,,TV-G,This title is currently not ratable,,,
